month_index,period_start_date
1,2025-10-01
2,2025-11-01
3,2025-12-01
4,2026-01-01
5,2026-02-01
6,2026-03-01
7,2026-04-01
8,2026-05-01
9,2026-06-01
10,2026-07-01
11,2026-08-01
12,2026-09-01
13,2026-10-01
14,2026-11-01
15,2026-12-01
16,2027-01-01
17,2027-02-01
18,2027-03-01
19,2027-04-01
20,2027-05-01
21,2027-06-01
22,2027-07-01
23,2027-08-01
24,2027-09-01
25,2027-10-01
26,2027-11-01
27,2027-12-01
28,2028-01-01
29,2028-02-01
30,2028-03-01
31,2028-04-01
32,2028-05-01
33,2028-06-01
34,2028-07-01
35,2028-08-01
36,2028-09-01
37,2028-10-01
38,2028-11-01
39,2028-12-01
40,2029-01-01
41,2029-02-01
42,2029-03-01
43,2029-04-01
44,2029-05-01
45,2029-06-01
46,2029-07-01
47,2029-08-01
48,2029-09-01
49,2029-10-01
50,2029-11-01
51,2029-12-01
52,2030-01-01
53,2030-02-01
54,2030-03-01
55,2030-04-01
56,2030-05-01
57,2030-06-01
58,2030-07-01
59,2030-08-01
60,2030-09-01
