scenario_id,month_index,period_start_date,net_gbp,cum_net_gbp
no_sponsorship,1,2025-10-01,-6750,-6750
no_sponsorship,2,2025-11-01,1250,-5500
no_sponsorship,3,2025-12-01,1250,-4250
no_sponsorship,4,2026-01-01,1250,-3000
no_sponsorship,5,2026-02-01,1250,-1750
no_sponsorship,6,2026-03-01,1250,-500
no_sponsorship,7,2026-04-01,1250,750
no_sponsorship,8,2026-05-01,1250,2000
no_sponsorship,9,2026-06-01,1250,3250
no_sponsorship,10,2026-07-01,1250,4500
no_sponsorship,11,2026-08-01,1250,5750
no_sponsorship,12,2026-09-01,1250,7000
no_sponsorship,13,2026-10-01,1250,8250
no_sponsorship,14,2026-11-01,1250,9500
no_sponsorship,15,2026-12-01,1250,10750
no_sponsorship,16,2027-01-01,1250,12000
no_sponsorship,17,2027-02-01,1250,13250
no_sponsorship,18,2027-03-01,1250,14500
no_sponsorship,19,2027-04-01,1250,15750
no_sponsorship,20,2027-05-01,1250,17000
no_sponsorship,21,2027-06-01,1250,18250
no_sponsorship,22,2027-07-01,1250,19500
no_sponsorship,23,2027-08-01,1250,20750
no_sponsorship,24,2027-09-01,1250,22000
no_sponsorship,25,2027-10-01,-6750,15250
no_sponsorship,26,2027-11-01,1250,16500
no_sponsorship,27,2027-12-01,1250,17750
no_sponsorship,28,2028-01-01,1250,19000
no_sponsorship,29,2028-02-01,1250,20250
no_sponsorship,30,2028-03-01,1250,21500
no_sponsorship,31,2028-04-01,1250,22750
no_sponsorship,32,2028-05-01,1250,24000
no_sponsorship,33,2028-06-01,1250,25250
no_sponsorship,34,2028-07-01,1250,26500
no_sponsorship,35,2028-08-01,1250,27750
no_sponsorship,36,2028-09-01,1250,29000
no_sponsorship,37,2028-10-01,1250,30250
no_sponsorship,38,2028-11-01,1250,31500
no_sponsorship,39,2028-12-01,1250,32750
no_sponsorship,40,2029-01-01,1250,34000
no_sponsorship,41,2029-02-01,1250,35250
no_sponsorship,42,2029-03-01,1250,36500
no_sponsorship,43,2029-04-01,1250,37750
no_sponsorship,44,2029-05-01,1250,39000
no_sponsorship,45,2029-06-01,1250,40250
no_sponsorship,46,2029-07-01,1250,41500
